S.No,Country/Region,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Exports_Growth_%,Imports_Growth_%
1,AFGHANISTAN,2380.99,4568.6,6949.58,-2187.61,2220.1,4991.44,7211.54,-2771.33,-6.76,9.26
2,ALBANIA,9467.48,56.4,9523.88,9411.08,500.99,56.08,557.06,444.91,-94.71,-0.56
3,ALGERIA,5636.04,5462.03,11098.06,174.01,6432.01,5580.98,12012.99,851.04,14.12,2.18
4,AMERI SAMOA,2.93,0.4,3.33,2.54,19.86,0.12,19.98,19.74,577.02,-68.71
5,ANDORRA,2.04,0.39,2.44,1.65,1.77,0.26,2.03,1.52,-13.3,-34.27
6,ANGOLA,4487.02,20734.44,25221.47,-16247.42,3748.86,29999.01,33747.87,-26250.15,-16.45,44.68
7,ANGUILLA,1.91,2.44,4.35,-0.53,1.16,1.06,2.22,0.1,-39.29,-56.63
8,ANTARTICA,2.15,3.7,5.85,-1.54,1.73,2.34,4.08,-0.61,-19.55,-36.68
9,ANTIGUA,116.78,5.92,122.7,110.86,38.02,4.55,42.57,33.47,-67.44,-23.1
10,ARGENTINA,7274.48,17117.95,24392.43,-9843.46,6504.15,27682.29,34186.44,-21178.14,-10.59,61.72
11,ARMENIA,660.17,293.69,953.86,366.48,1702.54,304.37,2006.91,1398.17,157.89,3.64
12,ARUBA,101.57,8.36,109.93,93.21,83.71,3.99,87.7,79.73,-17.58,-52.3
13,AUSTRALIA,57877.62,114042.23,171919.85,-56164.61,58621.17,113738.31,172359.48,-55117.14,1.28,-0.27
14,AUSTRIA,7341.82,6256.77,13598.59,1085.04,9757.64,6619.35,16376.99,3138.3,32.91,5.79
15,AZERBAIJAN,619.52,4.63,624.15,614.89,668.54,16.11,684.65,652.43,7.91,248.05
16,BAHAMAS,486.19,99.9,586.08,386.29,76.14,42.82,118.96,33.33,-84.34,-57.14
17,BAHARAIN IS,5460.25,4862.26,10322.51,597.99,5655.02,6257.57,11912.59,-602.55,3.57,28.7
18,BANGLADESH PR,72931.79,12936.26,85868.04,59995.53,79095.61,14161.29,93256.9,64934.31,8.45,9.47
19,BARBADOS,130.6,22.89,153.49,107.72,196.63,12.69,209.32,183.94,50.56,-44.55
20,BELARUS,297.48,100.69,398.16,196.79,486.17,286.69,772.87,199.48,63.43,184.74
21,BELGIUM,53642.84,49595.68,103238.52,4047.16,43473.64,46604.31,90077.95,-3130.68,-18.96,-6.03
22,BELIZE,89.68,154.31,243.99,-64.63,84.96,5.96,90.92,79.0,-5.26,-96.14
23,BENIN,5232.63,1318.01,6550.64,3914.61,8095.73,1001.29,9097.02,7094.45,54.72,-24.03
24,BERMUDA,,,0.0,0.0,35.09,0.28,35.37,34.81,,
25,BHUTAN,6544.52,2332.67,8877.19,4211.85,8907.57,4458.71,13366.28,4448.85,36.11,91.14
26,BOLIVIA,515.48,8598.87,9114.34,-8083.39,480.56,2804.86,3285.42,-2324.3,-6.77,-67.38
27,BOSNIA-HRZGOVIN,211.0,41.82,252.82,169.18,113.08,54.67,167.75,58.41,-46.41,30.72
28,BOTSWANA,663.34,2158.63,2821.97,-1495.29,1237.12,2270.04,3507.17,-1032.92,86.5,5.16
29,BR VIRGN IS,3.88,1154.07,1157.95,-1150.18,14.43,30.96,45.39,-16.53,271.56,-97.32
30,BRAZIL,42068.22,45281.55,87349.77,-3213.33,47890.78,35987.01,83877.79,11903.77,13.84,-20.53
31,BRUNEI,477.13,610.11,1087.25,-132.98,413.81,1070.3,1484.11,-656.48,-13.27,75.43
32,BULGARIA,1507.23,1418.54,2925.77,88.69,1485.99,2293.75,3779.75,-807.76,-1.41,61.7
33,BURKINA FASO,751.15,1356.44,2107.59,-605.29,998.65,638.89,1637.54,359.76,32.95,-52.9
34,BURUNDI,,,0.0,0.0,211.89,8.27,220.15,203.62,,
35,C AFRI REP,524.9,1.95,526.85,522.95,76.51,1.22,77.73,75.29,-85.42,-37.32
36,CAMBODIA,1282.45,1643.29,2925.75,-360.84,1358.58,690.58,2049.15,668.0,5.94,-57.98
