S.No,Country/Region,ISO3,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Export_Share_of_TotalTrade_%,Import_Share_of_TotalTrade_%,TradeBalance_Ratio_%,Exports_Growth_Computed_%,Imports_Growth_Computed_%,TotalTrade_Growth_%,Total_Trade_Calculated_Y1,Total_Trade_Difference_Y1,Total_Trade_Validation_Y1,Trade_Balance_Calculated_Y1,Trade_Balance_Difference_Y1,Trade_Balance_Validation_Y1,Total_Trade_Calculated_Y0,Total_Trade_Difference_Y0,Total_Trade_Validation_Y0,Trade_Balance_Calculated_Y0,Trade_Balance_Difference_Y0,Trade_Balance_Validation_Y0,Continent,Regional_Grouping,Income_Group_WB,GDP_USD_million_External,GDP_Growth_%_Derived,GDP_per_Capita_USD_Derived,Population_million_External,FTA_with_India,Distance_from_India_km_approx,Import_to_Export_Ratio,Trade_Balance_Category,Import_Dependency,Export_Dependency,Export_Growth_Category,Imports_Growth_Category,TotalTrade_Growth_Category,Trade_Pressure_Score_0_100,Trade_Pressure_Category,Export_Opportunity_Score_0_100_Sim,Market_Risk_Score_0_100_Sim,Investment_Priority_Score_0_100_Sim,Target_Market_Priority_Score_0_100_Sim,Expected_Revenue_USD_million_Sim,Expected_Cost_USD_million_Sim,Expected_Profit_USD_million_Sim,Profit_Margin_%_Sim,Investment_Required_USD_million_Sim,Expected_ROI_%_Sim,Recommended_Action_Sim,GDP_Source,GDP_Source_Year,Population_Source,Population_Source_Year,Classification_Source,Classification_Source_Year,Distance_Source,Year_Status_Note,Import_to_Export_Ratio_Status,Predictive_Next_Year_Exports,Predictive_Next_Year_Imports,Predictive_Next_Year_Total_Trade,Predictive_Next_Year_Trade_Balance,Predictive_Export_Lag_1,Predictive_Import_Lag_1,Predictive_Trade_Lag_1,Predictive_TradeBalance_Lag_1
1,AFGHANISTAN,AFG,2380.99,4568.6,6949.58,-2187.61,2220.1,4991.44,7211.54,-2771.33,34.26091936491126,65.73922452867656,-31.47830516376529,-6.757273235082881,9.255351748894611,3.769436426373968,6949.59,-0.01,Valid,-2187.6100000000006,0.0,Valid,7211.539999999999,0.0,Valid,-2771.34,0.01,Valid,Asia,"Middle East, North Africa, Afghanistan and Pakistan",Low income,,,,42.647,Partial/Preferential (SAFTA/SAPTA/MERCOSUR PTA/APTA),1872.0,1.9188,Trade Deficit,High Import Dependency,Low Export Dependency,Negative Growth,Moderate Growth,Moderate Growth,26.7,Low Trade Pressure,48.2,26.7,60.8,54.7,119.05,80.95,38.1,32.0,95.24,40.0,Reduce Import Dependency,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,2380.99,4568.6,6949.58,-2187.61,2220.1,4991.44,7211.54,-2771.33
2,ALBANIA,ALB,9467.48,56.4,9523.88,9411.08,500.99,56.08,557.06,444.91,99.40780438224758,0.5921956177524287,98.81560876449517,-94.70830675111011,-0.5673758865248233,-94.1509132832417,9523.88,0.0,Valid,9411.08,0.0,Valid,557.07,-0.01,Valid,444.91,0.0,Valid,Europe,Europe and Central Asia,Upper-middle income,22977.68,21.47,9666.15,2.377,No,5823.0,0.006,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,26.7,Low Trade Pressure,31.5,26.7,52.4,47.2,473.37,321.88,151.49,32.0,378.7,40.0,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,9467.48,56.4,9523.88,9411.08,500.99,56.08,557.06,444.91
3,ALGERIA,DZA,5636.04,5462.03,11098.06,174.01,6432.01,5580.98,12012.99,851.04,50.7840108992022,49.21607920663612,1.567931692566088,14.122859312566986,2.177761747921557,8.244053465200226,11098.07,-0.01,Valid,174.01000000000022,-0.0,Valid,12012.99,0.0,Valid,851.0300000000007,0.01,Valid,Africa,"Middle East, North Africa, Afghanistan and Pakistan",Upper-middle income,239899.49,6.36,5124.49,46.814,No,7460.0,0.9691,Balanced,Low Import Dependency,Moderate Export Dependency,High Growth,Moderate Growth,Moderate Growth,25.0,Low Trade Pressure,65.9,25.0,70.4,63.4,281.8,191.62,90.18,32.0,225.44,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,5636.04,5462.03,11098.06,174.01,6432.01,5580.98,12012.99,851.04
4,AMERI SAMOA,ASM,2.93,0.4,3.33,2.54,19.86,0.12,19.98,19.74,87.98798798798799,12.012012012012011,76.27627627627628,577.8156996587031,-70.0,499.9999999999999,3.33,0.0,Valid,2.53,0.01,Valid,19.98,0.0,Valid,19.74,0.0,Valid,Oceania,East Asia and Pacific,High income,,,,0.047,No,12913.0,0.1365,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Negative Growth,High Growth,7.1,Low Trade Pressure,62.4,7.1,77.6,69.8,0.15,0.1,0.05,33.33,0.12,41.67,Diversify Product,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,2.93,0.4,3.33,2.54,19.86,0.12,19.98,19.74
5,ANDORRA,AND,2.04,0.39,2.44,1.65,1.77,0.26,2.03,1.52,83.60655737704919,15.983606557377051,67.62295081967213,-13.23529411764706,-33.33333333333333,-16.803278688524596,2.43,0.01,Valid,1.65,0.0,Valid,2.03,-0.0,Valid,1.51,0.01,Valid,Europe,Europe and Central Asia,High income,3727.67,10.27,45493.83,0.082,No,7354.0,0.1912,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,25.2,Low Trade Pressure,23.5,25.2,49.2,44.3,0.1,0.07,0.03,30.0,0.08,37.5,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,2.04,0.39,2.44,1.65,1.77,0.26,2.03,1.52
6,ANGOLA,AGO,4487.02,20734.44,25221.47,-16247.42,3748.86,29999.01,33747.87,-26250.15,17.790477716009416,82.209482635231,-64.4190049192216,-16.451007572954886,44.6820362643023,33.806118358684095,25221.46,0.01,Valid,-16247.419999999998,-0.0,Valid,33747.869999999995,0.0,Valid,-26250.15,-0.0,Valid,Africa,Sub-Saharan Africa,Lower-middle income,84722.96,-18.85,2236.27,37.886,No,7349.0,4.621,Trade Deficit,High Import Dependency,Low Export Dependency,Negative Growth,High Growth,High Growth,31.5,Low Trade Pressure,46.3,31.5,57.4,51.7,224.35,152.55,71.8,32.0,179.48,40.0,Reduce Import Dependency,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,4487.02,20734.44,25221.47,-16247.42,3748.86,29999.01,33747.87,-26250.15
7,ANGUILLA,AIA,1.91,2.44,4.35,-0.53,1.16,1.06,2.22,0.1,43.9080459770115,56.09195402298851,-12.183908045977011,-39.26701570680628,-56.55737704918032,-48.9655172413793,4.35,0.0,Valid,-0.53,0.0,Valid,2.22,0.0,Valid,0.0999999999999998,0.0,Valid,Americas,,,,,,,No,13935.0,1.2775,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,25.8,Low Trade Pressure,7.5,25.8,40.8,36.7,0.1,0.07,0.03,30.0,0.08,37.5,Maintain Current Trade,,,,,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,1.91,2.44,4.35,-0.53,1.16,1.06,2.22,0.1
8,ANTARTICA,,2.15,3.7,5.85,-1.54,1.73,2.34,4.08,-0.61,36.75213675213676,63.24786324786326,-26.324786324786327,-19.534883720930228,-36.756756756756765,-30.25641025641025,5.85,0.0,Valid,-1.5500000000000005,0.01,Valid,4.07,0.01,Valid,-0.6099999999999999,-0.0,Valid,,,,,,,,Missing,,1.7209,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,25.5,Low Trade Pressure,19.9,25.5,47.2,42.5,0.11,0.07,0.04,36.36,0.09,44.44,Maintain Current Trade,,,,,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,2.15,3.7,5.85,-1.54,1.73,2.34,4.08,-0.61
9,ANTIGUA,ATG,116.78,5.92,122.7,110.86,38.02,4.55,42.57,33.47,95.17522412387936,4.824775876120619,90.35044824775876,-67.44305531769137,-23.14189189189189,-65.30562347188264,122.7,0.0,Valid,110.86,0.0,Valid,42.57,0.0,Valid,33.470000000000006,-0.0,Valid,Americas,Latin America and the Caribbean,High income,2033.09,8.85,21681.15,0.094,No,13916.0,0.0507,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,27.7,Low Trade Pressure,9.0,27.7,40.6,36.5,5.84,3.97,1.87,32.02,4.67,40.04,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,116.78,5.92,122.7,110.86,38.02,4.55,42.57,33.47
10,ARGENTINA,ARG,7274.48,17117.95,24392.43,-9843.46,6504.15,27682.29,34186.44,-21178.14,29.82269499184788,70.17730500815212,-40.35456901997874,-10.589485434010404,61.714983394623765,40.151842190384485,24392.43,0.0,Valid,-9843.47,0.01,Valid,34186.44,0.0,Valid,-21178.14,0.0,Valid,Americas,Latin America and the Caribbean,Upper-middle income,640591.41,1.5,14018.5,45.696,Partial/Preferential (SAFTA/SAPTA/MERCOSUR PTA/APTA),15880.0,2.3532,Trade Deficit,High Import Dependency,Low Export Dependency,Negative Growth,High Growth,High Growth,30.0,Low Trade Pressure,53.3,30.0,61.6,55.4,363.72,247.33,116.39,32.0,290.98,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,7274.48,17117.95,24392.43,-9843.46,6504.15,27682.29,34186.44,-21178.14
